protocol_key,protocol_name,time_window_hours,owner,urgency_if_incomplete,citation,trigger_patterns,action_key,action_label,action_documented_patterns,action_severity
sepsis,Surviving Sepsis Hour-1 Bundle,1,physician,red,Surviving Sepsis Campaign Hour-1 Bundle (2018),\bsepsis\b|\bseptic\b|\bSIRS\b|lactate\s*[>:]?\s*[2-9]|hypotension|\bMAP\b\s*<|BP\s*\d{2}/\d{2},lactate,Measure serum lactate,\blactate\b\s*\d|lactate\s+drawn|lactate\s+result,required
sepsis,Surviving Sepsis Hour-1 Bundle,1,physician,red,Surviving Sepsis Campaign Hour-1 Bundle (2018),\bsepsis\b|\bseptic\b|\bSIRS\b|lactate\s*[>:]?\s*[2-9]|hypotension|\bMAP\b\s*<|BP\s*\d{2}/\d{2},blood_cx,Draw blood cultures before antibiotics,blood\s+culture|\bBCx\b,required
sepsis,Surviving Sepsis Hour-1 Bundle,1,physician,red,Surviving Sepsis Campaign Hour-1 Bundle (2018),\bsepsis\b|\bseptic\b|\bSIRS\b|lactate\s*[>:]?\s*[2-9]|hypotension|\bMAP\b\s*<|BP\s*\d{2}/\d{2},antibiotics,Administer broad-spectrum antibiotics,\b(antibiotic|antibiotics|abx)\b\s*(given|started|administered|initiated|ordered)|\b(vancomycin|piperacillin|tazobactam|cefepime|meropenem|ceftriaxone|zosyn|cefazolin|levofloxacin|azithromycin|ciprofloxacin)\b,required
sepsis,Surviving Sepsis Hour-1 Bundle,1,physician,red,Surviving Sepsis Campaign Hour-1 Bundle (2018),\bsepsis\b|\bseptic\b|\bSIRS\b|lactate\s*[>:]?\s*[2-9]|hypotension|\bMAP\b\s*<|BP\s*\d{2}/\d{2},fluids,Begin 30 mL/kg crystalloid resuscitation,30\s*mL/kg|fluid\s+bolus|IV\s+fluids?\s+(initiated|bolus|running),required
acs,NSTEMI / Unstable Angina Initial Management,2,physician,red,ACC/AHA NSTEMI Guidelines,\bNSTEMI\b|\bSTEMI\b|\bACS\b|chest\s+(pain|pressure|tightness)\b.*(troponin|ECG|EKG)|troponin\s+(I\s+)?(elevated|positive|\d+\.\d+)|ST\s*(depression|elevation),asa,Aspirin 162-325 mg given,\bASA\b\s*(\d+\s*(mg)?)?\s*(given|administered|chewed)|aspirin\s+\d,required
acs,NSTEMI / Unstable Angina Initial Management,2,physician,red,ACC/AHA NSTEMI Guidelines,\bNSTEMI\b|\bSTEMI\b|\bACS\b|chest\s+(pain|pressure|tightness)\b.*(troponin|ECG|EKG)|troponin\s+(I\s+)?(elevated|positive|\d+\.\d+)|ST\s*(depression|elevation),anticoag,Anticoagulation (heparin or LMWH),\b(heparin|enoxaparin|lovenox|fondaparinux)\b,required
acs,NSTEMI / Unstable Angina Initial Management,2,physician,red,ACC/AHA NSTEMI Guidelines,\bNSTEMI\b|\bSTEMI\b|\bACS\b|chest\s+(pain|pressure|tightness)\b.*(troponin|ECG|EKG)|troponin\s+(I\s+)?(elevated|positive|\d+\.\d+)|ST\s*(depression|elevation),cards_consult,Cardiology consult,cardiology\s+(consult|notified|aware|to\s+see),required
acs,NSTEMI / Unstable Angina Initial Management,2,physician,red,ACC/AHA NSTEMI Guidelines,\bNSTEMI\b|\bSTEMI\b|\bACS\b|chest\s+(pain|pressure|tightness)\b.*(troponin|ECG|EKG)|troponin\s+(I\s+)?(elevated|positive|\d+\.\d+)|ST\s*(depression|elevation),serial_trop,Serial troponin / ECG monitoring,repeat\s+(troponin|ECG|EKG)|serial\s+(troponin|ECG)|telemetry,required
stroke,Acute Ischemic Stroke / tPA Window,1,physician,red,AHA/ASA Acute Ischemic Stroke Guidelines,\bstroke\b|\bCVA\b|hemiparesis|hemiplegia|\bNIHSS\b|aphasi[ac]|facial\s+droop|last\s+known\s+well,ct_head,Non-contrast head CT,head\s+CT|CT\s+head|non-?contrast\s+CT,required
stroke,Acute Ischemic Stroke / tPA Window,1,physician,red,AHA/ASA Acute Ischemic Stroke Guidelines,\bstroke\b|\bCVA\b|hemiparesis|hemiplegia|\bNIHSS\b|aphasi[ac]|facial\s+droop|last\s+known\s+well,neuro_consult,Neurology consult / stroke team activation,neurology\s+(consult|notified|aware|to\s+see)|stroke\s+(team|alert|code)\s+(activated|called|notified),required
stroke,Acute Ischemic Stroke / tPA Window,1,physician,red,AHA/ASA Acute Ischemic Stroke Guidelines,\bstroke\b|\bCVA\b|hemiparesis|hemiplegia|\bNIHSS\b|aphasi[ac]|facial\s+droop|last\s+known\s+well,tpa_eval,tPA / thrombolytic eligibility evaluation,\btPA\b|alteplase|thrombolytic|thrombectomy,required
stroke,Acute Ischemic Stroke / tPA Window,1,physician,red,AHA/ASA Acute Ischemic Stroke Guidelines,\bstroke\b|\bCVA\b|hemiparesis|hemiplegia|\bNIHSS\b|aphasi[ac]|facial\s+droop|last\s+known\s+well,bp_control,Blood pressure control,BP\s+control|nicardipine|labetalol|antihypertensive,required
